PCE Eligible Communities,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count of PCE,Column Labels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,Grand Total,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,12,1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,26,1,NA,27,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,8,NA,15,23,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,4,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,47,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,7,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,NA,NA,95,95,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,22,NA,9,31,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,38,5,2,45,NA,NA,NA,NA,NA,NA,NA,NA
Grand Total,191,9,128,328,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.58231707317073167,2.7439024390243903E-2,0.3902439024390244,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Installed Capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,"Sum of Total Capacity, kW (1)",Sum of Fossil Fuel Turbines,Sum of Internal Combustion,Sum of Hydroelectric,Sum of Wind Turbine,NA,NA,Row Labels,"Sum of Total Capacity, kW (1)",NA,NA,NA
Aleutians,37485,0,34945,800,1740,NA,NA,AN,104952,NA,NA,NA
Bering Straits,39233,0,36833,0,2400,NA,NA,SC,1230196,NA,NA,NA
Bristol Bay,28323,0,27479,824,44,NA,NA,SE,414357,NA,NA,NA
Copper River/Chugach,57344,8100,30044,19200,0,NA,NA,SW,101725,NA,NA,NA
Kodiak,62607,0,35232,22875,4500,NA,NA,YU,356287.5,NA,NA,NA
Lower Yukon-Kuskokwim,55959,0,53209,0,2750,NA,NA,Grand Total,2207517.5,NA,NA,NA
North Slope,40600,17300,23300,0,0,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,25119,0,21959,0,1400,NA,NA,NA,NA,NA,NA,NA
Railbelt,1416775,1198900,26200,184375,1012,NA,NA,NA,NA,NA,NA,NA
Southeast,414357,70900,130922,210085,0,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,29715.5,0,29715.5,0,0,NA,NA,NA,NA,NA,NA,NA
Grand Total,2207517.5,1295200,449838.5,438159,13846,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Net Generation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of Total Net Generation (1),NA,Row Labels,Sum of Total Net Generation (1),NA,Row Labels,Sum of Total Net Generation (1),Sum of Fossil Fuel Turbines,Sum of Reciprocating Internal Combustion,Sum of Hydroelectric,Sum of Wind Turbine,NA
Aleutians,63862.538499999995,NA,AN,171335.36389999997,NA,Aleutians,63862.538499999995,0,60717.303499999995,3144.5749999999998,0.66,NA
Bering Straits,55093.564899999998,NA,SC,4458214.6495500002,NA,Bering Straits,55093.564899999998,0,52469.839900000006,0,2623.7249999999999,NA
Bristol Bay,54518.98514550001,NA,SE,790081.16024999996,NA,Bristol Bay,54518.98514550001,0,50864.982145500006,3566.2379999999998,87.764999999999986,NA
Copper River/Chugach,114672.06199999999,NA,SW,192175.4529455,NA,Copper River/Chugach,114672.06199999999,17566,34157.133999999998,62948.928,0,NA
Kodiak,150273.00555,NA,YU,940441.61810000008,NA,Kodiak,150273.00555,0,23380.62055,114528.38499999999,12364,NA
Lower Yukon-Kuskokwim,96148.511700000003,NA,Grand Total,6552248.2447455004,NA,Lower Yukon-Kuskokwim,96148.511700000003,0,93034.6927,0,3113.8190000000004,NA
North Slope,80326,NA,NA,NA,NA,North Slope,80326,50211,30115,0,0,NA
Northwest Arctic,35915.798999999999,NA,NA,NA,NA,Northwest Arctic,35915.798999999999,0,34305.354999999996,0,1610.444,NA
Railbelt,5078287,NA,NA,NA,NA,Railbelt,5078287,4677955,191,398747,1394,NA
Southeast,790081.16024999996,NA,NA,NA,NA,Southeast,790081.16024999996,2339,30309.500250000001,757432.65999999992,0,NA
Yukon-Koyukuk/Upper Tanana,33069.617700000003,NA,NA,NA,NA,Yukon-Koyukuk/Upper Tanana,33069.617700000003,0,33069.617700000003,0,0,NA
Grand Total,6552248.2447455004,NA,NA,NA,NA,Grand Total,6552248.2447455004,4748071,442615.04574549996,1340367.7859999998,21194.413,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of Oil,Sum of Gas,Sum of Coal,Sum of Hydro,Sum of Wind,Consistency Check,NA,NA,NA,NA,NA,NA
Aleutians,60717.303499999995,0,0,3144.5749999999998,0.66,63862.538499999995,0,NA,NA,NA,NA,NA
Bering Straits,52469.839900000006,0,0,0,2623.5770000000002,55093.416900000004,-0.14799999999377178,NA,NA,NA,NA,NA
Bristol Bay,50864.982055,0,0,3566.2379999999998,87.764999999999986,54518.985054999997,-9.0500012447591871E-5,NA,NA,NA,NA,NA
Copper River/Chugach,51723.133999999998,0,0,62948.928,0,114672.06200000001,0,NA,NA,NA,NA,NA
Kodiak,23380.62055,0,0,114528.38499999999,12364,150273.00555,0,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,93034.6927,0,0,0,3113.8190000000004,96148.511700000003,0,NA,NA,NA,NA,NA
North Slope,28640,51686,0,0,0,80326,0,NA,NA,NA,NA,NA
Northwest Arctic,34305.354999999996,0,0,0,1610.444,35915.798999999999,0,NA,NA,NA,NA,NA
Railbelt,559426.34499999997,3731560.6550000003,387160,398747,1394,5078288,1,NA,NA,NA,NA,NA
Southeast,32648.500249999997,0,0,757432.65999999992,0,790081.16024999996,0,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,33070.758699999998,0,0,0,0,33070.758699999998,1.1409999999959837,NA,NA,NA,NA,NA
Grand Total,1020281.5316549999,3783246.6550000003,387160,1340367.7859999998,21194.264999999999,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,AEA Energy Region,Railbelt,NA,NA,NA
Fuel Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of Oil (gallons),Sum of Gas (Mcf),Sum of Coal (Short Tons),NA,NA,NA,NA,Row Labels,Sum of Oil (gallons),NA,NA,NA
Aleutians,4221440.2,0,0,NA,NA,NA,NA,Alaska Environmental LLC,0,NA,NA,NA
Bering Straits,3548336,0,0,NA,NA,NA,NA,Anchorage Municipal Light & Power,23352,6.7713629803740081E-4,NA,NA
Bristol Bay,3628029.1592000001,0,0,NA,NA,NA,NA,Aurora Energy LLC Chena,0,NA,NA,NA
Copper River/Chugach,4658331,0,0,NA,NA,NA,NA,Chugach Electric Assn Inc,0,NA,NA,NA
Kodiak,1772553.0012000001,0,0,NA,NA,NA,NA,Golden Valley Elec Assn Inc,34450626,0.99896237387423048,NA,NA
Lower Yukon-Kuskokwim,7129676.909,0,0,NA,NA,NA,NA,Homer Electric Assn Inc,10206,2.9594266263145393E-4,NA,NA
North Slope,2162790,756309,0,NA,NA,NA,NA,"Seward, City of",2226,6.4547165100687493E-5,NA,NA
Northwest Arctic,2471745.09,0,0,NA,NA,NA,NA,Grand Total,34486410,NA,NA,NA
Railbelt,34486410,40181450,397367,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,2687202.0890000002,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,2557161.6669999999,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Total,69323675.115400001,40937759,397367,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Residential,Commercial,Other,Total,NA,NA,NA,Residential,Commercial,Other,Total,NA
Row Labels,Sum of Sales (MWh),Sum of Sales  (MWh),Sum of Sales (MWh)2,Sum of Sales (MWh)3,NA,NA,Row Labels,Sum of Sales (MWh),Sum of Sales  (MWh),Sum of Sales (MWh)2,Sum of Sales (MWh)3,NA
Aleutians,8761.0352000000003,41422.258000000002,9499.6170000000002,59682.910199999998,NA,NA,Aleutians,8761.0352000000003,41422.258000000002,9499.6170000000002,59682.910199999998,59680
Bering Straits,17094.776999999998,22162.592000000004,13217.868999999999,52475.237999999998,NA,NA,Bering Straits,17094.776999999998,22162.592000000004,13217.868999999999,52475.238000000005,52480
Bristol Bay,14797.834998000002,24883.349548999999,11194.617727599998,50875.802274600006,NA,NA,Bristol Bay,14797.834998000002,24883.349548999999,11194.617727599998,50875.802274599992,50880
Copper River/Chugach,24269.100999999999,78927.661999999997,5288.15,108484.913,NA,NA,Copper River/Chugach,24269.100999999999,78927.661999999997,5288.15,108484.91299999999,108480
Kodiak,35083.104449999999,22237.664639999999,86905.187363000005,144225.95645299999,NA,NA,Kodiak,35083.104449999999,22237.664639999999,86905.187363000005,144225.95645300002,144230
Lower Yukon-Kuskokwim,31743.512999999999,36333.631311999983,21759.821451,89836.965763000015,NA,NA,Lower Yukon-Kuskokwim,31743.512999999999,36333.631311999983,21759.821451,89836.965762999986,89840
North Slope,17262.737000000001,59042.530999999995,1646.8980000000001,77952.165999999997,NA,NA,North Slope,17262.737000000001,59042.530999999995,1646.8980000000001,77952.165999999997,77950
Northwest Arctic,12800.108,13501.966999999999,8205.24,34507.315000000002,NA,NA,Northwest Arctic,12800.108,13501.966999999999,8205.24,34507.314999999995,34510
Railbelt,1640126,2125764,1050834,4816724,NA,NA,Railbelt,1640126,2125764,1050834,4816724,4816720
Southeast,325049.54199999996,319376.05599999998,159203.1127273,803628.71072730003,NA,NA,Southeast,325049.54199999996,319376.05599999998,159203.1127273,803628.71072730003,803630
Yukon-Koyukuk/Upper Tanana,11390.239000000003,7711.6253300000008,8198.2133065999988,27300.077636600003,NA,NA,Yukon-Koyukuk/Upper Tanana,11390.239000000003,7711.6253300000008,8198.2133065999988,27300.077636600003,27300
Grand Total,2138377.9916480002,2751363.3368310002,1375952.7265755001,6265694.0550544988,NA,NA,Grand Total,2138377.9916480002,2751363.3368310002,1375952.7265755001,6265694.0550544988,6265700
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Residential,Commercial,Other,Total,NA,NA,NA,Residential,Commercial,Other,Total,NA
Row Labels,Sum of Revenue ($000),Sum of Revenue ($000)2,Sum of Revenue ($000)3,Sum of Revenue ($000)4,NA,NA,Row Labels,Sum of Revenue ($000),Sum of Revenue ($000)2,Sum of Revenue ($000)3,Sum of Revenue ($000)4,NA
Aleutians,4292.8017855497355,19265.285835485938,4931.9019866135804,28489.989607649251,NA,NA,Aleutians,4292.8017855497355,19265.285835485938,4931.9019866135804,28489.989607649251,NA
Bering Straits,7492.6586747020301,8793.1630550649206,5914.6893420282704,22200.511071795219,NA,NA,Bering Straits,7492.6586747020301,8793.1630550649206,5914.6893420282704,22200.511071795219,NA
Bristol Bay,7549.925929978981,12018.65717522697,5939.6241320403196,25508.207237246272,NA,NA,Bristol Bay,7549.925929978981,12018.65717522697,5939.6241320403196,25508.207237246272,NA
Copper River/Chugach,7945.9648880723498,22536.372799861641,2355.30579496881,32837.6434829028,NA,NA,Copper River/Chugach,7945.9648880723498,22536.372799861641,2355.30579496881,32837.6434829028,NA
Kodiak,6966.4435219249999,4306.813369425,15286.235490219999,26550.492381569999,NA,NA,Kodiak,6966.4435219249999,4306.813369425,15286.235490219999,26550.492381569999,NA
Lower Yukon-Kuskokwim,17600.560156817639,19435.678443522513,11914.223078148791,48950.461678488929,NA,NA,Lower Yukon-Kuskokwim,17600.560156817639,19435.678443522513,11914.223078148791,48950.461678488929,NA
North Slope,2142.8435899999999,6704.6529099999998,238.83762999999999,9086.3341300000011,NA,NA,North Slope,2142.8435899999999,6704.6529099999998,238.83762999999999,9086.3341300000011,NA
Northwest Arctic,6521.6012816499606,6265.4480507503104,4619.4807995777301,17406.530131978001,NA,NA,Northwest Arctic,6521.6012816499606,6265.4480507503104,4619.4807995777301,17406.530131978001,NA
Railbelt,271216.7,261744.59999999998,165167.70000000001,698129,NA,NA,Railbelt,271216.7,261744.59999999998,165167.70000000001,698129,NA
Southeast,41372.75278259637,38216.366610005913,17627.210486141103,97206.329878743374,NA,NA,Southeast,41372.75278259637,38216.366610005913,17627.210486141103,97206.329878743374,NA
Yukon-Koyukuk/Upper Tanana,6518.6881558631194,4495.3332481971111,4804.0804940082771,15818.101898068511,NA,NA,Yukon-Koyukuk/Upper Tanana,6518.6881558631194,4495.3332481971111,4804.0804940082771,15818.101898068511,NA
Grand Total,379620.94076715526,403782.37149754027,238799.28923374691,1022183.6014984425,NA,NA,Grand Total,379620.94076715526,403782.37149754027,238799.28923374691,1022183.6014984425,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Residential,Commercial,Other,Total,NA,NA,NA,Residential,Commercial,Other,Total,NA
Row Labels,Sum of Customers (Accounts),Sum of Customers (Accounts)2,Sum of Customers (Accounts)3,Sum of Customers (Accounts)4,NA,NA,Row Labels,Sum of Customers (Accounts),Sum of Customers (Accounts)2,Sum of Customers (Accounts)3,Sum of Customers (Accounts)4,NA
Aleutians,1576.7750120000001,751.76666299999999,368.86666809999997,2697.4083430999999,NA,NA,Aleutians,1576.7750120000001,751.76666299999999,368.86666809999997,2697.4083430999999,NA
Bering Straits,3361.3332560000003,527.3333275,401.33333069999998,4289.9999141999997,NA,NA,Bering Straits,3361.3332560000003,527.3333275,401.33333069999998,4289.9999141999997,NA
Bristol Bay,3099.1818119999998,1001.969698,519.50757069999997,4620.6590807000002,NA,NA,Bristol Bay,3099.1818119999998,1001.969698,519.50757069999997,4620.6590807000002,NA
Copper River/Chugach,4106.5833359999997,1506.0833339999999,152.50000119999999,5765.1666711999997,NA,NA,Copper River/Chugach,4106.5833359999997,1506.0833339999999,152.50000119999999,5765.1666711999997,NA
Kodiak,4923.9999950000001,1092.0757570000001,137.70454561000003,6153.7802976100002,NA,NA,Kodiak,4923.9999950000001,1092.0757570000001,137.70454561000003,6153.7802976100002,NA
Lower Yukon-Kuskokwim,6401.083427999999,1642.7802690000001,739.58333779999998,8783.4470347999995,NA,NA,Lower Yukon-Kuskokwim,6401.083427999999,1642.7802690000001,739.58333779999998,8783.4470347999995,NA
North Slope,2167.1666759999998,817.58333600000003,40.3333333,3025.0833453,NA,NA,North Slope,2167.1666759999998,817.58333600000003,40.3333333,3025.0833453,NA
Northwest Arctic,1884.0833379999999,225.805555,240.66666731000001,2350.5555603100001,NA,NA,Northwest Arctic,1884.0833379999999,225.805555,240.66666731000001,2350.5555603100001,NA
Railbelt,212792,29946,637,243375,NA,NA,Railbelt,212792,29946,637,243375,NA
Southeast,31619.500067999998,7865.7500215000009,716.41666573000009,40201.666755230006,NA,NA,Southeast,31619.500067999998,7865.7500215000009,716.41666573000009,40201.666755230006,NA
Yukon-Koyukuk/Upper Tanana,2962.3055490000002,598.47222399999987,476.24999869000004,4037.0277716899996,NA,NA,Yukon-Koyukuk/Upper Tanana,2962.3055490000002,598.47222399999987,476.24999869000004,4037.0277716899996,NA
Grand Total,274894.01247000002,45975.620185,4430.16211914,325299.79477414,NA,NA,Grand Total,274894.01247000002,45975.620185,4430.16211914,325299.79477414,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Residential,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,kwh/cust,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Row Labels,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Aleutians,5556.3001273640175,55099.88675834646,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Bering Straits,5085.7132268827309,42027.671767057058,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Bristol Bay,4774.7553695310608,24834.433215564168,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Copper River/Chugach,5909.8036041901478,52405.906245822647,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Kodiak,7124.9196762032079,20362.749101846417,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Lower Yukon-Kuskokwim,4959.0844045471495,22117.158330686027,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,North Slope,7965.5788321100981,72215.917815624358,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Northwest Arctic,6793.8120049337231,59794.662713235724,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Railbelt,7707.6487837888635,70986.575836505712,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Southeast,10280.034197281982,40603.382401808762,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Yukon-Koyukuk/Upper Tanana,3845.0587934269847,12885.519194955994,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Grand Total,7778.9180362062916,59843.963512832823,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of CO2 Metric Tons from Fuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,42827.390295708341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,35816.288417708347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,36762.253239068967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,46182.286050725008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,17982.919479049255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,72289.173795536044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,62954.565293130014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,24803.42219994375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,3155441.9407347157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,27262.225026673546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,23585.191437062287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Total,3545907.6559693213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCE?,NA,NA,NA,Total # Communities,184,NA,NA,NA,NA,NA,NA,NA
Row Labels,Count of Residential Rate ($/kWh),NA,NA,Total # PCE communities,169,NA,NA,NA,NA,NA,NA,NA
NO,15,NA,NA,PCE & rate>0.22c/kwh,61,0.36094674556213019,NA,NA,NA,NA,NA,NA
YES,169,NA,NA,PCE & rate>0.14c/kwh,158,0.9349112426035503,NA,NA,NA,NA,NA,NA
Grand Total,184,NA,NA,PCE & rate=0.14c/kwh,11,6.5088757396449703E-2,NA,NA,NA,NA,NA,NA
