Note: this table only includes net generation from fossil fuels. Hydroelectric and wind generation are not included.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
Igiugig Electric Company,Igiugig,Igiugig,DFO,IC,307.7185455,27001.090199999999,3780.1526280000003,6.6696001000000003,11.396523000393518,0.58523113582710284,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",DFO,IC,84.087000000000003,6620.7960000000003,926.91144000000008,4.3820582999999997,12.700436624236723,0.34503209847428018,0.14000000000000001,PCE,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data.",Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Inside Passage Electric,Angoon,Angoon,DFO,IC,2025.2149999999999,141021,19742.940000000002,3.5694750000000002,14.361088064898135,0.24855184954436937,0.14000000000000001,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Chilkat Valley,Chilkat Valley,DFO,IC,-68.440910000000002,0,0,3.5701417000000002,NA,NA,0.14000000000000001,PCE,Provides power to Klukwan via intertie. Power is purchased from AP&T.,Southeast,Haines,Sealaska,SE
Inside Passage Electric,Hoonah,Hoonah,DFO,IC,4816.875,331185,46365.9,3.5694750000000002,14.544363422256442,0.24541981634877386,0.14000000000000001,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Kake,Kake,DFO,IC,2769.4879999999998,213498.00000000003,29889.720000000008,3.5701417000000002,12.971962266625447,0.2752198647066173,0.14000000000000001,PCE,0,Southeast,Petersburg (CA),Sealaska,SE
Inside Passage Electric,Klukwan,Klukwan,DFO,IC,0,0,0,3.5701417000000002,NA,NA,0.14000000000000001,PCE,Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Ketchikan Public Utilities,S W Bailey,Ketchikan,DFO,IC,2603,294588,41242.320000000007,NA,8.8360693578828737,NA,0.14000000000000001,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
"King Cove, City of",King Cove,King Cove,DFO,IC,1712.346,143977,20156.780000000002,3.7504917,11.893191273606201,0.31534779973842902,0.14000000000000001,PCE,0,Aleutians,Aleutians East,Aleut,SW
Kipnuk Light Plant,Kipnuk,Kipnuk,DFO,IC,1583.2080000000001,154889,21684.460000000003,3.6444999999999999,10.221565120828464,0.35655009354424688,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kobuk Valley Electric Company,Kobuk,Kobuk,DFO,IC,0,0,0,0.50674286000000002,NA,NA,0.14000000000000001,PCE,"Receives power from Shungnak via intertie. For fuel use and cost, please refer to Shungnak. On July 1, 2012, AVEC took over operations in Kobuk.",Northwest Arctic,Northwest Arctic,NANA,AN
Kodiak Electric Assn Inc,Kodiak,Kodiak,DFO,IC,18214,1296582,181521.48,NA,14.047703886063511,NA,0.14000000000000001,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,DFO,IC,3568,350490,49068.600000000006,NA,10.180033667151703,NA,0.14000000000000001,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Port Lions,Kodiak,DFO,IC,70,6510,911.40000000000009,NA,10.75268817204301,NA,0.14000000000000001,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kokhanok Village Council,Kokhanok,Kokhanok,DFO,IC,406.92200000000003,39090,5472.6,5.140225,10.409874648247634,0.49378356355763514,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Kotzebue Electric Association,Kotzebue,Kotzebue,DFO,IC,20300,1417074,198390.36000000002,3.1507082999999998,14.325292821687505,0.2199402371189261,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
"Koyukuk, City of",Koyukuk,Koyukuk,DFO,IC,314.14699999999999,32927,4609.7800000000007,3.3166000000000002,9.5407112703860051,0.347626073780746,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Kwethluk Incorporated,Kwethluk,Kwethluk,DFO,IC,1377.5930000000001,102428,14339.920000000002,3.4605999999999999,13.449379076033898,0.25730555889874585,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kwigillingok Power Company,Kwigillingok,Kwigillingok,DFO,IC,1168.2660000000001,84078,11770.920000000002,4.0582500000000001,13.895026047241847,0.29206494368577018,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,DFO,IC,159.17355000000001,14340.001200000001,2007.6001680000002,3.7065545000000002,11.099967690379273,0.33392480080933923,0.14000000000000001,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Levelock Electrical Coop,Levelock,Levelock,DFO,IC,472.11799999999999,42434,5940.76,3.7319917,11.125936748833482,0.33543168402348567,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Manokotak Power Company,Manokotak,Manokotak,DFO,IC,1365.7190000000001,104840,14677.600000000002,3.4317916999999998,13.026697825257536,0.26344294970488069,0.14000000000000001,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Mcgrath Light & Power,McGrath,McGrath,DFO,IC,2840.7040000000002,191841,26857.74,3.0957499999999998,14.807595873666212,0.20906499788432725,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Metlakatla Power & Light,Centennial,Metlakatla,DFO,IC,65,7434,1040.76,NA,8.7436104385256925,NA,0.14000000000000001,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,DFO,IC,220.98479999999998,25737.908999999996,3603.3072599999996,3.8401000000000001,8.5859655498820828,0.44725313393002597,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,DFO,IC,302.6524,25305,3542.7000000000003,3.8401000000000001,11.960181782256472,0.32107371525882494,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Red Devil,Red Devil,DFO,IC,106.4297,13336,1867.0400000000002,3.8401000000000001,7.980631373725255,0.48117746831946345,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Sleetmute,Sleetmute,DFO,IC,259.13670000000002,24532,3434.4800000000005,3.8401000000000001,10.563211315832383,0.36353528157146398,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Stony River,Stony River,DFO,IC,128.072,14182,1985.4800000000002,3.8401000000000001,9.0306021717670291,0.42523188675120244,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naknek Electric Association,Naknek,"Naknek, King Salmon, South Naknek",DFO,IC,19900,1319147,184680.58000000002,3.0757249999999998,15.085506012597534,0.20388610083291456,0.14000000000000001,PCE,Provides power to South Naknek and King Salmon via intertie. Data includes South Naknek's and King Salmon's information.,Bristol Bay,Bristol Bay,Bristol Bay,SW
Napakiak Ircinraq,Napakiak,Napakiak,DFO,IC,0,0,0,0.50760000000000005,NA,NA,0.14000000000000001,PCE,Purchases power from Bethel Utilities Corporation,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Napaskiak Electric Utility,Napaskiak,Napaskiak,DFO,IC,979.45,77093,10793.02,4.0851249999999997,12.704785129648606,0.32154223454489761,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naterkaq Light Plant,Chefornak,Chefornak,DFO,IC,1630.624,123703,17318.420000000002,3.6972917000000001,13.181766004058106,0.28048530817962941,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Native Village of Perryville,Perryville,Perryville,DFO,IC,176.43129999999999,14464.000000000002,2024.9600000000005,4.376125,12.197960453539821,0.35875874632222293,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,DFO,IC,392.2319,44500.000000000007,6230.0000000000018,3.8227000000000002,8.8141999999999996,0.43369789657597974,0.14000000000000001,PCE,0,Aleutians,Aleutians East,Aleut,SW
New Koliganek Village Council,Koliganek,Koliganek,DFO,IC,648.44000000000005,72207,10108.980000000001,4.5217333000000002,8.9802927693990888,0.50351735918990193,0.14000000000000001,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Nikolai, City of",Nikolai,Nikolai,DFO,IC,399.21109999999999,36527,5113.7800000000007,5.5137166999999998,10.929205792975059,0.50449381267429683,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Nome Joint Utility Systems,Snake River,Nome,DFO,IC,33500,2109802,295372.28000000003,2.8809917,15.87826724972296,0.18144244927293732,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,DFO,IC,2690,213486,29888.040000000005,4.9400000000000004,12.600357868900069,0.39205235687732343,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Atqasuk,Atqasuk,DFO,IC,3241,255318,35744.520000000004,1.59,12.693973789548719,0.12525628509719222,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Kaktovik,Kaktovik,DFO,IC,2603,294588,41242.320000000007,4.43,8.8360693578828737,0.50135414521705723,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,DFO,IC,1754,88284,12359.760000000002,NA,19.867699696434237,NA,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,NG,IC,1475,10329,10556.237999999999,NA,142.80182011811405,NA,1.022,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Hope,Point Hope,DFO,IC,6153,412482,57747.48,NA,14.917014560635373,NA,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Lay,Point Lay,DFO,IC,18214,1296582,181521.48,4.43,14.047703886063511,0.31535402767102227,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Wainwright,Wainwright,DFO,IC,3568,350490,49068.600000000006,4.43,10.180033667151703,0.43516555493273534,0.14000000000000001,EIA,0,North Slope,North Slope,Arctic Slope,AN
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,DFO,IC,829.24900000000002,67849,9498.86,3.7703000000000002,12.221978216333328,0.30848524954507034,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",DFO,IC,18800,1276725,178741.50000000003,2.6583833000000001,14.725175742622726,0.18053321376023937,0.14000000000000001,PCE,Provides power to Aleknagik via intertie. Data includes Aleknagik's information.,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Ouzinkie, City of",Ouzinkie,Ouzinkie,DFO,IC,328.82,26152,3661.28,4.0841666999999999,12.573416947078618,0.3248255201581412,0.14000000000000001,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Pedro Bay Village Council,Pedro Bay,Pedro Bay,DFO,IC,211.78700000000001,19514,2731.96,5.2443333000000001,10.853079840114789,0.4832115286405681,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Pelican Utility,Pelican,Pelican,DFO,IC,798.50199999999995,66631,9328.34,3.9841666999999998,11.98394140865363,0.33245879332512629,0.14000000000000001,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"Petersburg, City of",Blind Slough,Petersburg,DFO,IC,2741,191856,26859.840000000004,NA,14.286756734217329,NA,0.14000000000000001,EIA,0,Southeast,Petersburg (CA),Sealaska,SE
Pilot Point Electric Utility,Pilot Point,Pilot Point,DFO,IC,443.084,44192,6186.880000000001,4.1797917,10.026339608979001,0.41688112142708833,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Port Heiden Utilities,Port Heiden,Port Heiden,DFO,IC,490.07,57543.000000000007,8056.0200000000013,3.6751667000000001,8.5165875953634664,0.43153042915930384,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Puvurnaq Power Company,Kongiganak,Kongiganak,DFO,IC,671.83900000000006,88397,12375.580000000002,3.9009166999999998,7.600246614704119,0.51326185816825154,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Ruby, City of",Ruby,Ruby,DFO,IC,732.57640000000004,53248,7454.7200000000012,3.6066666999999999,13.757820012019231,0.26215393840369411,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Saint George, City of",Saint George,Saint George,DFO,IC,420.73200000000003,35990,5038.6000000000004,6.0449999999999999,11.690247290914142,0.51709770114942533,0.14000000000000001,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Saint Paul Municipal Electric,Saint Paul,Saint Paul,DFO,IC,4295.9750000000004,316222,44271.08,4.5374999999999996,13.585313482300409,0.33400038989984809,0.14000000000000001,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
"Seward, City of",Seward,Seward,DFO,IC,6153,412482,57747.48,NA,14.917014560635373,NA,0.14000000000000001,EIA,0,Railbelt,Kenai Peninsula,Chugach,SC
"Sitka, City & Borough of",Jarvis Street,Sitka,DFO,IC,1386,161028,22543.920000000002,NA,8.6071987480438192,NA,0.14000000000000001,EIA,0,Southeast,Sitka,Sealaska,SE
Takotna Community Assoc Inc,Takotna,Takotna,DFO,IC,194.57050000000001,21799,3051.86,4.2352999999999996,8.9256617276021828,0.47450823583225615,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,DFO,IC,648.31299999999999,54661,7652.5400000000009,5.1008832999999996,11.860613600190264,0.43006909017912637,0.14000000000000001,PCE,0,Bristol Bay,Lake and Peninsula,Cook Inlet,SW
Tanana Power Company Inc,Tanana,Tanana,DFO,IC,1146.596,88911,12447.54,3.2365667,12.895997120716222,0.25097452098533396,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Tatitlek Village Ira Council,Tatitlek,Tatitlek,DFO,IC,472.20400000000001,42599,5963.8600000000006,4.6981250000000001,11.084861146975282,0.42383255303851725,0.14000000000000001,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
TDX Adak Generating LLC,Adak,Adak,DFO,IC,1908.4159999999999,217292.2,30420.908000000003,3.9018978999999998,8.7827174652380524,0.44427000133428979,0.14000000000000001,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
TDX Corporation,Sand Point,Sand Point,DFO,IC,4313.7950000000001,299184,41885.760000000002,4.1466666999999999,14.418535082089951,0.28759278778263686,0.14000000000000001,PCE,0,Aleutians,Aleutians East,Aleut,SW
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,DFO,IC,434.1617,34534.667000000001,4834.8533800000005,3.8580239000000001,12.571764482338862,0.3068800648802999,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,DFO,IC,416.31299999999999,33616,4706.2400000000007,4.1741666999999998,12.384370537839125,0.33705117973063531,0.14000000000000001,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Tuluksak Traditional,Tuluksak,Tuluksak,DFO,IC,606.72309999999993,58214,8149.9600000000009,3.24905,10.422288452949461,0.31174055627682551,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,DFO,IC,970.95100000000002,92280.000000000015,12919.200000000003,3.4099249999999999,10.521792371044645,0.32408214111731698,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Twin Hills Village Council,Twin Hills,Twin Hills,DFO,IC,282.24180000000001,30161,4222.54,3.9224999999999999,9.3578395941779107,0.41916726190096582,0.14000000000000001,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Umnak Power Company,Nikolski,Nikolski,DFO,IC,211.643,24532,3434.4800000000005,3.9649999999999999,8.6272215881297889,0.45959176537849117,0.14000000000000001,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,DFO,IC,3497.944,233637.00000000003,32709.180000000008,2.9563666999999998,14.971703968121485,0.19746360910520583,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Unalaska, City of",NA,Unalaska,DFO,IC,43500,2794440,391221.60000000003,3.3789332999999999,15.566625155666252,0.21706267519199998,0.14000000000000001,PCE,Includes Unalaska Power Module and Dutch Harbor plants,Aleutians,Aleutians West (CA),Aleut,SW
Ungusraq Power Company,Newtok,Newtok,DFO,IC,426.98399999999998,41159,5762.26,3.5615250000000001,10.374012974076143,0.34331217908633582,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"White Mountain, City of",White Mountain,White Mountain,DFO,IC,369.21600000000001,29509,4131.26,3.1284667000000002,12.511979396116439,0.25003771193637331,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Wrangell, City of",Wrangell,Wrangell,DFO,IC,490,39816,5574.2400000000007,NA,12.306610407876232,NA,0.14000000000000001,EIA,0,Southeast,Wrangell,Sealaska,SE
Yakutat Power Inc,Yakutat,Yakutat,DFO,IC,6511.7089999999998,450578,63080.920000000006,3.9975499999999999,14.451901779492118,0.27661065380839345,0.14000000000000001,PCE,0,Southeast,Yakutat,Sealaska,SE
