1) Data before 2001 from the Alaska Energy Statistics Report 2003.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
"a) From AK Power Survey, 1976; Arctic value is ""Remainder"", inclusive of the Arctic, North-West and South-West.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b) Barrow Natural Gas values missing for 1996.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c) Data from 1996-2000 from EIA historic tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2) Data from 2002-2008 from EIA Annual Electric Utility data file.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d) Data from 2002-2008 not consistent with prior years due to changes in reporting and utilities that failed to report to EIA.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3)Figures for 2009 and fordward are based on the Energy Statistics publication, including data from EIA and PCE. Data not consistent with prior years due to changes in methodology.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 3.4   Net Generation by Region by Certified Utilities in Alaska (MWh), 1962-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Notes,Statewide Total,Arctic,% of Statewide Total,South Central,% of Statewide Total,South East,% of Statewide Total,South West,% of Statewide Total,Yukon,% of Statewide Total
1962,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"1,a",574000,14000,2.4390243902439025E-2,329000,0.57317073170731703,129000,0.22473867595818817,NA,0,102000,0.17770034843205576
1964,"1,a",628000,15000,2.3885350318471339E-2,362000,0.57643312101910826,141000,0.22452229299363058,NA,0,110000,0.1751592356687898
1965,1,733926,9126,1.2434496120862322E-2,451349,0.61497889432994612,148121,0.20182007450342404,7980,1.0873030796020308E-2,117350,0.15989350424974724
1966,"1,a",822000,20000,2.4330900243309004E-2,510000,0.62043795620437958,160000,0.19464720194647203,NA,0,132000,0.16058394160583941
1967,"1,a",891000,22000,2.4691358024691357E-2,560000,0.62850729517396187,156000,0.17508417508417509,NA,0,145000,0.16273849607182941
1968,"1,a",1008000,25000,2.48015873015873E-2,635000,0.62996031746031744,177000,0.17559523809523808,NA,0,171000,0.16964285714285715
1969,"1,a",1120000,29000,2.5892857142857145E-2,708000,0.63214285714285712,185000,0.16517857142857142,NA,0,198000,0.1767857142857143
1970,1,1281310,15836,1.2359226104533641E-2,804449,0.62783323317542206,201952,0.15761369223685134,18941,1.4782527257260147E-2,240132,0.18741132122593285
1971,1,1491351,18367,1.2315678871037067E-2,956098,0.64109522171507582,217336,0.14573095133204725,22976,1.5406165282351371E-2,276574,0.18545198279948852
1972,1,1624744,20278,1.2480735426627211E-2,1033717,0.63623376975080381,232465,0.14307792489155213,25847,1.5908352331198021E-2,312437,0.1922992175998188
1973,1,1789281,22415,1.2527378315647458E-2,1169883,0.65382854900935072,247700,0.13843549448074394,28798,1.6094733024047091E-2,320485,0.17911384517021084
1974,1,1935126,22755,1.1758924225089219E-2,1267829,0.65516612354957759,263521,0.13617769592264276,32454,1.677100095807715E-2,348567,0.18012625534461321
1975,1,2288220,28813,1.2591883647551372E-2,1499648,0.65537754236917778,289031,0.12631259232066847,37151,1.6235764043667129E-2,433577,0.18948221761893524
1976,1,2572104,37032,1.4397551576452585E-2,1722992,0.6698764902196801,305796,0.11888943837418704,29424,1.1439661848821043E-2,476860,0.18539685798085925
1977,1,2828083,44908,1.5879307644082581E-2,1920710,0.67915616337992912,318514,0.11262540738726551,42173,1.4912221458846858E-2,501778,0.17742690012987597
1978,1,2960038,47701,1.6114995820999595E-2,2052305,0.69333738283089608,326083,0.11016176143684642,47336,1.5991686593212654E-2,486613,0.16439417331804523
1979,1,3084915,51404,1.6663019888716546E-2,2166505,0.70229001447365647,346457,0.11230682206803105,50294,1.6303204464304527E-2,470255,0.15243693910529138
1980,1,3181484,63936,2.0096282112372715E-2,2235091,0.70253095725139592,365443,0.11486557845332555,55402,1.7413886098437081E-2,461612,0.14509329608446875
1981,1,3281429,71666,2.1839875249472104E-2,2305525,0.70259786208996144,394724,0.12029027597427829,59659,1.8180798670335393E-2,449855,0.1370911880159528
1982,1,3714277,86813,2.3372785605381613E-2,2577871,0.69404382064127146,475011,0.12788787696771134,68178,1.8355658449814054E-2,506404,0.13633985833582149
1983,1,3856013,94981,2.4631919031393307E-2,2655641,0.68870125697190332,507253,0.13154857102400846,77308,2.0048687595192235E-2,520830,0.13506956537750262
1984,1,4146039,100906,2.433792832146538E-2,2827848,0.68206015428219557,567608,0.13690368083850635,79846,1.9258381312862709E-2,569831,0.13743985524496996
1985,1,4473992,107467,2.4020382691788453E-2,3164189,0.70724064772578943,579250,0.12947050419401734,83877,1.8747686629748107E-2,539209,0.1205207787586567
1986,1,4410431,112398,2.5484584159688701E-2,3088302,0.70022680323079534,568241,0.12884024259760554,89186,2.0221606459776834E-2,552304,0.12522676355213358
1987,1,4423875,113700,2.5701449521064679E-2,3186583,0.72031488231471275,580705,0.13126614110932158,106937,2.4172699273826679E-2,435950,9.854482778107429E-2
1988,1,4502221,119138,2.6462050619016703E-2,3167213,0.70347790568255086,636945,0.14147350829734925,112804,2.5055189427618058E-2,466121,0.1035313459734651
1989,1,4603964,126988,2.758231819362619E-2,3269386,0.71012414519314226,626705,0.13612291494894399,119476,2.5950680761187533E-2,461409,0.10021994090310002
1990,1,4674565,135768,2.9043985910988508E-2,3318206,0.70984273402979747,651226,0.13931264192497056,127326,2.7238042470261938E-2,442039,9.4562595663981563E-2
1991,1,4621212,162135,3.508495173993316E-2,3180445,0.68822746067481866,660607,0.14295102670035481,126761,2.7430249899809835E-2,491264,0.10630631098508357
1992,1,4736792,163449,3.4506264999603103E-2,3303067,0.69732152055652852,670609,0.14157450865480267,132589,2.7991307196938351E-2,467078,9.8606398592127331E-2
1993,1,4733185,155026,3.2752998245367551E-2,3249963,0.68663341914588172,659553,0.13934654994469897,135373,2.8600825870951588E-2,533270,0.1126662067931002
1994,1,4924864,157381,3.1956415446193029E-2,3439538,0.69840263609309816,687221,0.13954111220127094,143404,2.9118367532585673E-2,497320,0.10098146872685215
1995,1,5018794,161031,3.2085596659277106E-2,3501178,0.69761341071181637,714949,0.14245434261697132,139087,2.7713231505417438E-2,502549,0.1001334185065177
1996,"1,b,c",4982268,71707,1.4392441354017889E-2,3609022,0.72437331753330014,656591,0.13178556432532332,91476,1.836031301407311E-2,553472,0.11108836377328558
1997,"1,c",5108003,120857,2.3660322830663959E-2,3594688,0.7037364700059886,632150,0.12375677931277644,73625,1.4413656374125073E-2,686683,0.13443277147644589
1998,"1,c",4590270,122432,2.6672069398967817E-2,3200155,0.69716051561237136,529577,0.11536946628411836,76632,1.6694442810553628E-2,661474,0.14410350589398882
1999,"1,c",4609315,128838,2.7951658760575052E-2,3338963,0.72439462262830812,398387,8.6430847099840211E-2,98213,2.1307504477346417E-2,644914,0.1399153670339302
2000,"1,c",4937687,126766,2.567315425218326E-2,3650429,0.73929939261034572,552457,0.11188578781927652,44473,9.0068487532725342E-3,563562,0.114134816564922
2001,1,5646289.9220000003,179161.91100000008,3.1730908875564477E-2,3761085.1750000003,0.66611619788517129,704467.61399999994,0.12476646146970558,167056.60100000002,2.9586968311543251E-2,834518.62100000004,0.14779946345801548
2002,"2,d",5631870.9279999994,136177.19,2.4179742707342106E-2,3859369.7359999996,0.68527311533585633,592208.00199999998,0.10515297839226333,97834.001000000004,1.7371492040699696E-2,946281.99899999995,0.1680226715238386
2003,"2,d",6079380.1800000006,138647.12000000002,2.2806127581249575E-2,4310312.6100000013,0.7090052739554118,686021.40999999992,0.11284397252484378,121773.51999999999,2.0030581472863237E-2,822625.5199999999,0.13531404446563167
2004,"2,d",6048564.9040000001,136395.00200000001,2.2549977418577439E-2,4327319,0.71542904286904219,664930.00399999996,0.10993186227699607,125679.00199999998,2.0778317500881358E-2,794241.89600000007,0.13131079993450295
2005,"2,d",6120090.0240000011,137572.00200000001,2.2478754636044547E-2,4397480.9970000004,0.71853207710266187,671689.00100000005,0.10975149031565944,123761,2.0222088157963339E-2,789587.02400000009,0.12901558978767075
2006,"2,d",6255895.6690000016,135213.00199999998,2.1613691972202222E-2,4497021.006000001,0.71884526915693359,726890.00199999986,0.11619279483863139,125426,2.0049247403777309E-2,771345.65899999999,0.12329899662845541
2007,"2,d",6436366.1729999986,133348.99799999999,2.0718056495820196E-2,4423339.0129999984,0.68724166619909299,745073.00099999993,0.11575988391175085,131424.997,2.0419129904590657E-2,1003180.1640000001,0.15586126348874532
2008,"2,d",6439253.7660000008,151346,2.3503655159410591E-2,4511790,0.70066969930937795,704078.62,0.10934164820737706,127054.94,1.9731314313292742E-2,944984.20600000001,0.14675368301054156
2009,3,6441390.5420000004,176010.41400000002,2.7324909559877451E-2,4145642.057,0.64359427207045439,744326.95199999993,0.1155537685763255,176535.93300000002,2.7406494273080829E-2,1198875.1859999998,0.18612055552026172
2010,3,6485494,170852,2.6343714141127877E-2,4365639,0.67313900837777352,789060,0.12166536581484771,173051,2.6682778520803505E-2,986892,0.15216913314544736
2011,3,6552248.2447455004,171335.36389999997,2.6149095318145247E-2,4458214.6495500002,0.68040991168568954,790081.16024999996,0.12058168902309163,192175.4529455,2.9329696581568452E-2,940441.61810000008,0.14352960739150511
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Figure 3.4    Total Net Generation (MWh), 1962-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
