PCE reporting ID...1,AEA Plant ID,AK Plant ID,CPCN,eia_plant_id,PCE reporting ID...6,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes
NA,P1,P001,0,54452,NA,Agrium Kenai Nitrogen Operations,AEA-121,179,Agrium US Inc,215-1985,Railbelt_grid,0,0,FALSE,NA,NA,Industrial CHP,7,24.8,NA,NA,60.6732,-151.3784,NA,NA
331010,P2,P002,449,NA,331010,Akhiok,AEA-001,NA,"Akhiok, City of",001-0000,Akhiok_grid,0,1,FALSE,0.36,1,Electric Utility,1,7.2,NA,NA,56.94556,-154.17028,OP,NA
331020,P3,P003,412,NA,331020,Akiachak,AEA-003,NA,Akiachak Native Community,002-0000,Akiachak_grid,0,1,TRUE,1.5,1,Electric Utility,1,7.2,NA,NA,60.90944,-161.43139,OP,NA
331030,P4,P004,635,NA,331030,Akiak,AEA-002,NA,Akiak City Council,003-0000,Akiak_grid,0,1,TRUE,0.92,1,Electric Utility,1,7.2,NA,NA,60.91222,-161.21389,OP,NA
331040,P5,P005,293,NA,331040,Akutan,AEA-004,NA,"Akutan, City of",004-0000,Akutan_grid,0,1,FALSE,0.55200000000000005,1,Electric Utility,1,7.2,NA,NA,54.13556,-165.77306,OP,NA
NA,P6,P006,1,62,NA,Annex Creek,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,4,1,Electric Utility,1,23,NA,NA,58.3176,-134.101,OP,NA
NA,P7,P007,1,7250,NA,Auke Bay,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,36.200000000000003,1,Electric Utility,1,69,NA,NA,58.3875,-134.6446,NA,NA
NA,P8,P008,1,63,NA,Gold Creek,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,9.6999999999999993,1,Electric Utility,1,12,NA,NA,58.3107,-134.4174,NA,NA
NA,P9,P009,1,59793,NA,Industrial Plant,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,41.7,1,Electric Utility,1,69,NA,NA,58.367635,-134.60802,NA,NA
NA,P10,P010,1,57085,NA,Lake Dorothy Hydroelectric Project,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,14.3,1,Electric Utility,1,138,NA,NA,58.2325,-134.0533,OP,NA
NA,P11,P011,1,64,NA,Lemon Creek,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,61.7,1,Electric Utility,1,69,NA,NA,58.3536,-134.4953,OP,NA
NA,P12,P012,1,65,NA,Salmon Creek 1,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,8.5,1,Electric Utility,1,69,NA,NA,58.3269,-134.4631,OP,NA
NA,P21,P021,2,56146,NA,False Island,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,NA,FALSE,1.3,1,Electric Utility,1,12.47,NA,NA,55.48918,-133.1345,NA,NA
NA,P13,P013,1,78,NA,Snettisham,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,1,0,FALSE,78.2,1,Electric Utility,1,138,NA,NA,58.1415,-133.737,OP,NA
NA,P14,P014,742,58511,NA,Delta Wind Farm,AEA-113,58488,Alaska Environmental Power LLC,215-1985,Railbelt_grid,1,0,FALSE,1.9,7,NAICS-22 Non-Cogen,2,25,NA,NA,64.013889,-145.596667,OP,NA
NA,P15,P015,2,7752,NA,Black Bear Lake,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,NA,FALSE,4.5,1,Electric Utility,1,34.5,NA,NA,55.476472,-133.14772,OP,"Included in PCE reporting as ""Purchased Power"""
NA,P16,P016,2,7751,NA,Goat Lake Hydro,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,1,NA,FALSE,4,1,Electric Utility,1,34.5,NA,NA,59.5357,-135.2123,OP,"Included in PCE reporting as ""Purchased Power"""
NA,P17,P017,2,56542,NA,Kasidaya Creek Hydro,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,1,NA,FALSE,3,1,Electric Utility,1,34.5,NA,NA,59.4072,-135.3408,OP,"Included in PCE reporting as ""Purchased Power"""
NA,P18,P018,2,56265,NA,South Fork,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,NA,FALSE,2,1,Electric Utility,1,34.5,NA,NA,55.563333,-132.891111,OP,"Included in PCE reporting as ""Purchased Power"""
NA,P19,P019,2,56147,NA,Viking,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,NA,FALSE,1,1,Electric Utility,1,12.47,NA,NA,55.540708,-133.102344,NA,NA
331090,P20,P020,2,421,331090,Craig,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,1,FALSE,4.5999999999999996,1,Electric Utility,1,12.47,NA,NA,55.47691,-133.14869,OP,NA
331120,P22,P022,2,69,331120,Haines,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,1,1,FALSE,6.2,1,Electric Utility,1,12.47,NA,NA,59.235931,-135.446228,OP,PCE reporting includes diesel and hydro generation
331150,P23,P023,2,423,331150,Hydaburg,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,1,FALSE,1,1,Electric Utility,1,2.4,NA,NA,55.204937,-132.821435,NA,NA
NA,P24,P024,2,61684,NA,Klawock Power Generation Station,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,0,FALSE,2.5,1,Electric Utility,1,12.47,NA,NA,55.553197,-133.08535,NA,NA
331180,P25,P025,2,7169,331180,Northway,AEA-005,219,Alaska Power & Telephone Company,012-0000,Northway_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,14.4,NA,NA,62.9617,-141.9372,OP,NA
331190,P26,P026,2,66,331190,Skagway,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,1,1,FALSE,4.4000000000000004,1,Electric Utility,1,2.4,NA,NA,59.4545,-135.3131,OP,PCE reporting includes diesel and hydro generation
331195,P27,P027,2,61685,331195,Slana Generating Station,AEA-005,219,Alaska Power & Telephone Company,026-2011,Slana_grid,1,1,TRUE,0.73,1,Electric Utility,1,12.47,NA,NA,62.592756,-143.588869,OP,NA
331210,P28,P028,2,7414,331210,Thorne Bay Plant,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,1,1,FALSE,1.075,1,Electric Utility,1,4.16,NA,NA,55.68586,-132.52892,NA,NA
331220,P29,P029,2,406,331220,Tok,AEA-005,219,Alaska Power & Telephone Company,015-2008,Tok_grid,1,1,FALSE,7.6,1,Electric Utility,1,12.47,NA,NA,63.33552,-142.99997,OP,NA
331050,P30,P030,2,7750,331050,Allakaket,AEA-005,219,Alaska Power & Telephone Company,005-0000,Allakaket_grid,0,1,TRUE,0.52500000000000002,1,Electric Utility,1,7.2,NA,NA,66.56261,-152.64756,OP,NA
331060,P31,P031,2,7176,331060,Bettles,AEA-005,219,Alaska Power & Telephone Company,007-0000,Bettles_grid,0,1,FALSE,0.6,1,Electric Utility,1,2.4,NA,NA,66.91788,-151.51513,OP,NA
331070,P32,P032,2,7332,331070,Chistochina,AEA-005,219,Alaska Power & Telephone Company,026-2011,Slana_grid,0,1,FALSE,0.2,1,Electric Utility,1,7.2,NA,NA,62.565,-144.66472,NA,NA
331080,P33,P033,2,7342,331080,Coffman Cove,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,0,1,FALSE,0.66,1,Electric Utility,1,2.4,NA,NA,56.01389,-132.82778,NA,NA
331110,P34,P034,2,7375,331110,Eagle,AEA-005,219,Alaska Power & Telephone Company,009-0000,Eagle_grid,0,1,TRUE,0.45,1,Electric Utility,1,7.2,NA,NA,64.78806,-141.2,OP,NA
332010,P35,P035,2,NA,332010,Gustavus,AEA-005,219,Alaska Power & Telephone Company,118-0000,Gustavus_grid,0,1,FALSE,0.84199999999999997,1,Electric Utility,1,7.2,NA,NA,58.41333,-135.73694,OP,NA
331130,P36,P036,2,7506,331130,Healy Lake,AEA-005,219,Alaska Power & Telephone Company,011-0000,Healy Lake_grid,0,1,FALSE,8.3000000000000004E-2,1,Electric Utility,1,2.4,NA,NA,64.02689,-144.66162,NA,NA
331140,P37,P037,2,7249,331140,Hollis,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,0,1,FALSE,0.45,1,Electric Utility,1,2.4,NA,NA,NA,NA,NA,NA
331160,P38,P038,2,7341,331160,Mentasta Lake,AEA-005,219,Alaska Power & Telephone Company,026-2011,Slana_grid,0,1,FALSE,NA,1,Electric Utility,1,NA,NA,NA,62.93155,-143.79273,NA,NA
331200,P39,P039,2,7371,331200,Tetlin,AEA-005,219,Alaska Power & Telephone Company,015-2008,Tok_grid,0,1,FALSE,NA,1,Electric Utility,1,NA,NA,NA,63.13722,-142.51611,NA,NA
331230,P40,P040,2,7753,331230,Whale Pass,AEA-005,219,Alaska Power & Telephone Company,213-0000,Whale_Pass_grid,0,1,FALSE,0.25,1,Electric Utility,1,2.4,NA,NA,56.11528,-133.12083,OP,NA
NA,P41,P041,2,NA,NA,Dewey LakesÂ ,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,0,0,FALSE,0.94299999999999995,1,Electric Utility,1,NA,NA,NA,59.4511,-135.3081,OP,"Included in PCE reporting as ""Purchased Power"""
NA,P42,P042,2,NA,NA,Lutak,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,0,0,FALSE,NA,1,Electric Utility,1,NA,NA,NA,59.3411111,-135.5655556,OP,"Included in PCE reporting as ""Purchased Power"""
331170,P43,P043,2,7792,331170,Naukati Bay,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,0,1,FALSE,NA,1,Electric Utility,1,NA,NA,NA,55.88077,-133.195,NA,NA
NA,P44,P044,2,60814,NA,7-Mile Ridge Wind Project,AEA-005,219,Alaska Power & Telephone Company,NA,NA,0,0,FALSE,NA,NA,Electric Utility,1,NA,NA,NA,63.210689,-143.247156,NA,NA
331240,P45,P045,169,6308,331240,Alakanuk,AEA-006,221,Alaska Village Electric Cooperative,218-0000,Alakanuk_grid,0,1,FALSE,0.8,1,Electric Utility,1,13.47,NA,NA,62.6833,-164.6544,NA,NA
331240,P45,P045,169,57053,331240,Alakanuk,AEA-006,221,Alaska Village Electric Cooperative,218-0000,Alakanuk_grid,1,1,FALSE,0.8,1,Electric Utility,1,13.47,NA,NA,62.6833,-164.6544,NA,NA
331250,P46,P046,169,6556,331250,Ambler,AEA-006,221,Alaska Village Electric Cooperative,035-0000,Ambler_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,67.08798,-157.856719,OP,NA
331250,P46,P046,169,60243,331250,Ambler,AEA-006,221,Alaska Village Electric Cooperative,035-0000,Ambler_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,67.08798,-157.856719,OP,NA
331800,P47,P047,169,6566,331800,Bethel,AEA-006,221,Alaska Village Electric Cooperative,034-1988,Bethel_grid,1,1,FALSE,12.6,1,Electric Utility,1,2.4,NA,NA,60.7897,-161.787778,OP,NA
331270,P48,P048,169,7374,331270,Brevig Mission,AEA-006,221,Alaska Village Electric Cooperative,039-0000,Brevig Mission_grid,0,1,FALSE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,65.331716,-166.479506,OP,NA
331270,P48,P048,169,60260,331270,Brevig Mission,AEA-006,221,Alaska Village Electric Cooperative,039-0000,Brevig Mission_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,65.331716,-166.479506,OP,NA
331280,P49,P049,169,6311,331280,Chevak,AEA-006,221,Alaska Village Electric Cooperative,040-0000,Chevak_grid,1,1,TRUE,1.8,1,Electric Utility,1,12.5,NA,NA,61.525297,-165.590152,OP,NA
331300,P50,P050,169,6313,331300,Elim,AEA-006,221,Alaska Village Electric Cooperative,043-0000,Elim_grid,0,1,FALSE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.616558,-162.263717,OP,NA
331300,P50,P050,169,57060,331300,Elim,AEA-006,221,Alaska Village Electric Cooperative,043-0000,Elim_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.616558,-162.263717,OP,NA
331310,P51,P051,169,6314,331310,Emmonak,AEA-006,221,Alaska Village Electric Cooperative,045-0000,Emmonak_grid,1,1,TRUE,3.2,1,Electric Utility,1,12.5,NA,NA,62.777694,-164.531517,OP,NA
331320,P52,P052,169,6315,331320,Gambell,AEA-006,221,Alaska Village Electric Cooperative,046-0000,Gambell_grid,0,1,TRUE,1.6,1,Electric Utility,1,13.47,NA,NA,63.777058,-171.712439,OP,NA
331320,P52,P052,169,57062,331320,Gambell,AEA-006,221,Alaska Village Electric Cooperative,046-0000,Gambell_grid,1,1,TRUE,1.6,1,Electric Utility,1,13.47,NA,NA,63.777058,-171.712439,OP,NA
331360,P53,P053,169,6319,331360,Hooper Bay,AEA-006,221,Alaska Village Electric Cooperative,050-0000,Hooper Bay_grid,1,1,TRUE,2.1,1,Electric Utility,1,12.5,NA,NA,61.530858,-166.101944,OP,NA
331390,P54,P054,169,57066,331390,Kasigluk,AEA-006,221,Alaska Village Electric Cooperative,055-0000,Kasigluk_grid,1,1,TRUE,2,1,Electric Utility,1,13.47,NA,NA,60.8731,-162.5197,OP,NA
331400,P55,P055,169,6323,331400,Kiana,AEA-006,221,Alaska Village Electric Cooperative,057-0000,Kiana_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,66.973889,-160.428592,OP,NA
331410,P56,P056,169,6324,331410,Kivalina,AEA-006,221,Alaska Village Electric Cooperative,058-0000,Kivalina_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,67.726644,-164.538447,OP,NA
331410,P56,P056,169,57065,331410,Kivalina,AEA-006,221,Alaska Village Electric Cooperative,058-0000,Kivalina_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,67.726644,-164.538447,OP,NA
332120,P57,P057,169,57064,332120,Kotlik,AEA-006,221,Alaska Village Electric Cooperative,059-0000,Kotlik_grid,1,1,TRUE,1.4,1,Electric Utility,1,13.47,NA,NA,63.03215,-163.553106,OP,NA
331420,P58,P058,169,6325,331420,Koyuk,AEA-006,221,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.932089,-161.167103,OP,NA
331420,P58,P058,169,57059,331420,Koyuk,AEA-006,221,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.932089,-161.167103,OP,NA
331440,P59,P059,169,6326,331440,Marshall,AEA-006,221,Alaska Village Electric Cooperative,061-0000,Marshall_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,61.878186,-162.085147,OP,NA
331440,P59,P059,169,60244,331440,Marshall,AEA-006,221,Alaska Village Electric Cooperative,061-0000,Marshall_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,61.878186,-162.085147,OP,NA
331470,P60,P060,169,6329,331470,Mountain Village,AEA-006,221,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,1,1,FALSE,2.2999999999999998,1,Electric Utility,1,12.5,NA,NA,62.085569,-163.729072,SB?,NA
331480,P61,P061,169,6334,331480,New Stuyahok,AEA-006,221,Alaska Village Electric Cooperative,065-0000,New Stuyahok_grid,0,1,TRUE,1.4,1,Electric Utility,1,12.5,NA,NA,59.448358,-157.325528,OP,NA
331480,P61,P061,169,60245,331480,New Stuyahok,AEA-006,221,Alaska Village Electric Cooperative,065-0000,New Stuyahok_grid,1,1,TRUE,1.4,1,Electric Utility,1,12.5,NA,NA,59.448358,-157.325528,OP,NA
331500,P62,P062,169,6331,331500,Noatak,AEA-006,221,Alaska Village Electric Cooperative,066-0000,Noatak_grid,0,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,67.570931,-162.965728,OP,NA
331500,P62,P062,169,57051,331500,Noatak,AEA-006,221,Alaska Village Electric Cooperative,066-0000,Noatak_grid,1,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,67.570931,-162.965728,OP,NA
331510,P63,P063,169,6330,331510,Noorvik,AEA-006,221,Alaska Village Electric Cooperative,067-0000,Noorvik_grid,1,1,TRUE,1.5,1,Electric Utility,1,12.5,NA,NA,66.834519,-161.038717,OP,NA
331530,P64,P064,169,6333,331530,Nunapitchuk,AEA-006,221,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,0,1,FALSE,0.5,1,Electric Utility,1,12.5,NA,NA,60.89588,-162.459756,OP,NA
331550,P65,P065,169,6335,331550,Pilot Station,AEA-006,221,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,0,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,61.936456,-162.880706,OP,NA
331550,P65,P065,169,57058,331550,Pilot Station,AEA-006,221,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,1,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,61.936456,-162.880706,OP,NA
331570,P66,P066,169,6337,331570,Quinhagak,AEA-006,221,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,59.747436,-161.910647,OP,NA
331570,P66,P066,169,57057,331570,Quinhagak,AEA-006,221,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,59.747436,-161.910647,OP,NA
331660,P67,P067,169,6338,331660,Saint Mary's,AEA-006,221,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,1,1,TRUE,2.0180000000000002,1,Electric Utility,1,12.5,NA,NA,62.051525,-163.172567,OP,NA
331590,P68,P068,169,6340,331590,Savoonga,AEA-006,221,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,0,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,63.695267,-170.475661,OP,NA
331590,P68,P068,169,57052,331590,Savoonga,AEA-006,221,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,1,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,63.695267,-170.475661,OP,NA
331600,P69,P069,169,6342,331600,Scammon Bay,AEA-006,221,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,0,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,61.843036,-165.581497,OP,NA
331600,P69,P069,169,57056,331600,Scammon Bay,AEA-006,221,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,1,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,61.843036,-165.581497,OP,NA
331610,P70,P070,169,6341,331610,Selawik,AEA-006,221,Alaska Village Electric Cooperative,078-0000,Selawik_grid,1,1,TRUE,1.7,1,Electric Utility,1,12.5,NA,NA,66.606778,-160.014808,OP,NA
331640,P71,P071,169,6345,331640,Shishmaref,AEA-006,221,Alaska Village Electric Cooperative,081-0000,Shishmaref_grid,1,1,FALSE,1.5,1,Electric Utility,1,12.5,NA,NA,66.255072,-166.073589,OP,NA
331650,P72,P072,169,6346,331650,Shungnak,AEA-006,221,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,0,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,66.888114,-157.140206,OP,NA
331650,P72,P072,169,57063,331650,Shungnak,AEA-006,221,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,1,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,66.888114,-157.140206,OP,NA
331670,P73,P073,169,6339,331670,Saint Michael,AEA-006,221,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,0,1,FALSE,0.7,1,Electric Utility,1,13.47,NA,NA,63.4775,-162.0383,NA,NA
331670,P73,P073,169,57061,331670,Saint Michael,AEA-006,221,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,0,1,FALSE,0.7,1,Electric Utility,1,13.47,NA,NA,63.4775,-162.0383,NA,NA
331680,P74,P074,169,6347,331680,Stebbins,AEA-006,221,Alaska Village Electric Cooperative,084-0000,Stebbins_grid,0,1,TRUE,2,1,Electric Utility,1,13.47,NA,NA,63.521047,-162.286322,OP,NA
331680,P74,P074,169,57055,331680,Stebbins,AEA-006,221,Alaska Village Electric Cooperative,084-0000,Stebbins_grid,1,1,TRUE,2,1,Electric Utility,1,13.47,NA,NA,63.521047,-162.286322,OP,NA
331690,P75,P075,169,6348,331690,Togiak,AEA-006,221,Alaska Village Electric Cooperative,086-0000,Togiak_grid,1,1,TRUE,2.4,1,Electric Utility,1,12.5,NA,NA,59.059744,-160.380278,OP,NA
331700,P76,P076,169,6349,331700,Toksook Bay,AEA-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,0,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,60.530142,-165.108575,OP,NA
331700,P76,P076,169,57067,331700,Toksook Bay,AEA-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,1,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,60.530142,-165.108575,OP,NA
331720,P77,P077,169,57054,331720,Upper Kalskag,AEA-006,221,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,61.526858,-160.348128,OP,NA
332900,P78,P078,169,6637,332900,Yakutat,AEA-006,221,Alaska Village Electric Cooperative,091-0000,Yakutat_grid,1,1,TRUE,4.16,1,Electric Utility,1,4.16,NA,NA,59.544553,-139.724306,OP,NA
331260,P79,P079,169,6310,331260,Anvik,AEA-006,221,Alaska Village Electric Cooperative,036-0000,Anvik_grid,0,1,TRUE,0.503,1,Electric Utility,1,7.2,NA,NA,62.65611,-160.20667,OP,NA
331290,P80,P080,169,6312,331290,Eek,AEA-006,221,Alaska Village Electric Cooperative,041-0000,Eek_grid,0,1,TRUE,0.57899999999999996,1,Electric Utility,1,7.2,NA,NA,60.21889,-162.02444,OP,NA
